"Window","Horizon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","Window"
"Window_12","6",4.8364779833622,4.0691673792579,3.31845091731929,4.68288558979757,8.18978929205625,6.24012895657928,5.9042303568895,6.48423206227165,5.40288000262758,3.54989948640484,5.84485300211972,3.60598082272773,5.80099102830259,4.48837913792349,5.10106680240345,5.03169928482054,6.58277351000085,4.54159471174564,6.92968833585813,8.31577054723844,6.79443025448149,7.02252592807484,4.81505281651197,6.186050039447,5.17605226486944,5.21525654318786,7.19888077208329,5.28301975475345,3.79451220325789,7.16294484376839,"Window_12"
"Window_12","9",4.26965411824983,3.6953074537641,3.75191994538119,4.75677379454065,5.52637300907851,4.0159738337857,4.28866400354585,6.20137978533007,3.91170112029183,3.07849816695321,3.78386893251475,2.83131692059849,3.94005544186575,4.57227819409742,4.21301439191179,3.63424952580061,5.26258899483468,4.32256823507644,5.44525401778232,6.17083136409009,4.98103537662326,4.62293837761634,4.73455791807455,4.69613976695832,4.3036883262977,4.38767422617047,4.25961895444012,5.61388308596617,3.62256707489406,4.64363433183616,"Window_12"
"Window_12","12",3.10164762042462,2.6184279244489,1.87606780882461,2.68281630898722,4.88998935397941,4.42261857204018,2.36719080501766,3.58776308079357,3.72130542036069,1.92997012614479,3.80256845902681,1.9199356008719,3.45549150406502,2.24249922032608,3.28500915213437,2.3092410756568,4.20926430683863,2.48992872727394,3.94893809191979,5.00602117137668,2.50145157433003,4.65368394910458,3.58877376863394,4.33659079766731,2.71945199732893,2.73570947275971,4.58625458573445,3.12758535058427,2.27259850555982,4.69544720538707,"Window_12"
"Window_12","Overall",2.4545209467003,2.04210916037182,2.4821995833548,3.33882572865773,3.87402453417681,3.01618841449049,2.83822904837907,4.0565414854923,2.69193704222865,2.05483994607429,2.37851248838283,1.52005669503388,2.15516223173348,2.18662347508402,3.21699049366878,2.66316253411198,3.81944488429858,3.08612820373947,3.0956718536836,4.26256637843102,3.71065436870495,3.20656484075907,1.88837552534646,2.25715509252112,2.32606046885497,2.21704500601059,1.85971134529278,3.66436055392477,2.79591182915333,2.80143140429864,"Window_12"
"Window_13","1",5.96648474870948,5.29110054478617,4.8232000770206,5.80879757498923,7.67900898677484,6.18029234742886,6.85160805150297,7.23915243075869,6.54821287135192,3.9146162103682,7.57548389385649,4.12392222464027,6.4441138134257,5.42219831834142,6.22077755798152,5.38411501249993,7.55947879286974,5.5180200905154,7.68543961157317,8.24575775153569,7.50778311702294,7.10653626618264,6.4568010648432,7.23432959129946,5.7200028039605,5.76048554031398,7.60575370265382,6.8838184091332,5.75737760955945,7.44559913293657,"Window_13"
"Window_13","3",5.85087078635264,5.79082896046635,5.20058611366147,4.72489380224243,6.65513677134771,5.53739749106556,6.85535016164224,8.87151888447843,5.83331885333539,4.76781241089924,8.86649021185021,5.36985091087025,5.56927248874631,6.68967834382793,4.86995058485194,6.05974649335051,6.88928891896426,6.07985461209521,7.09500037487248,7.45230401948203,8.57046277909091,8.07280500997124,6.67146453823262,6.55828283727821,7.04763343291923,6.98835950954989,7.06061609427344,7.55696983102957,4.99494930241011,6.61218729827034,"Window_13"
"Window_13","6",5.04052437625684,5.77222320176379,4.62594127257939,4.87623209854052,7.58086247835562,5.99605840557003,6.67357860847353,8.42317075409836,5.43682892602074,4.36206445133947,7.78296233528439,4.82060429701641,5.69022077541749,5.95423958791302,4.85211149298613,5.97196049741797,6.31890716276375,5.5355269507861,7.1578925026899,8.26892933719255,7.23830652182122,7.53851966471764,6.22450918528332,6.61846823813781,6.86141284187331,6.34418974072047,7.60352013634904,7.00791378304615,4.78652162429346,7.00682963836387,"Window_13"
"Window_13","9",5.80988510640151,4.83998543472177,4.32065898309831,5.6152566825428,4.8927853150185,4.63874840406018,5.58058881051654,6.94923965137154,5.59491519639162,3.39199269932036,5.1912784368508,3.21001696663526,5.39585828116678,5.56090100702137,5.8699454599006,3.57726395843318,5.95051108403206,5.2873065427926,6.32454757800007,5.45907682161552,6.34743924573301,6.02529283649433,6.08352758999939,7.06774130787516,4.24878724293739,4.27984100110196,5.87586976598182,6.73319751934005,4.98406625380702,5.21186561021961,"Window_13"
"Window_13","12",5.7887524243246,5.01961005641903,4.39300657181811,4.86166817090772,8.16755585884447,6.42265774511796,5.23710207921756,6.00018729151486,5.63025505626691,3.79135324476463,6.80423581492884,4.15545697946801,5.86277898162613,4.6069322026863,5.37744718273038,5.1644784606836,7.24849863064077,4.70746389889839,7.21403587774238,8.22008023396593,6.66797222728796,7.15264395819479,6.02883998089032,6.78089258628254,5.56745959185509,5.50751584174701,7.81610647321197,6.16718469897167,4.63070842633096,7.01642682288042,"Window_13"
"Window_13","Overall",3.58235109922576,3.15302314627323,3.17005232531961,4.64302836501154,5.24704830943474,3.87847081544159,4.83686263329764,5.47193413243256,4.15858071202466,2.73391931617541,3.60687820196023,2.17274097520626,3.68314134707153,3.76636602433722,4.54886267935274,3.06648626502784,5.34578155961766,3.75318165844798,5.36344505547773,5.66730877707785,5.47111042454937,4.62170998277999,3.47280012182348,4.10755454523656,3.48658635798599,3.00422415380475,3.9180583890792,5.22052212568169,3.36807673231593,4.42590689451208,"Window_13"
